id,label
0,2
1,6
2,9
3,5
4,8
5,5
6,2
7,6
8,2
9,7
10,5
11,7
12,4
13,9
14,7
15,8
16,9
17,9
18,5
19,9
20,8
21,6
22,4
23,3
24,2
25,6
26,5
27,2
28,7
29,1
30,7
31,2
32,0
33,0
34,5
35,2
36,5
37,7
38,1
39,8
40,3
41,8
42,0
43,4
44,0
45,3
46,6
47,2
48,4
49,9
50,6
51,6
52,1
53,2
54,2
55,5
56,2
57,2
58,5
59,1
60,1
61,7
62,4
63,1
64,6
65,3
66,2
67,7
68,3
69,5
70,0
71,5
72,0
73,3
74,9
75,3
76,4
77,3
78,3
79,4
80,8
81,2
82,0
83,2
84,8
85,1
86,6
87,7
88,7
89,4
90,5
91,2
92,3
93,7
94,1
95,0
96,2
97,3
98,5
99,1
100,9
101,0
102,0
103,8
104,3
105,1
106,9
107,1
108,7
109,3
110,3
111,2
112,9
113,5
114,0
115,2
116,1
117,4
118,8
119,9
120,0
121,0
122,5
123,0
124,6
125,9
126,9
127,4
128,4
129,3
130,9
131,8
132,7
133,1
134,2
135,3
136,5
137,9
138,5
139,2
140,5
141,7
142,4
143,1
144,0
145,9
146,4
147,2
148,1
149,4
150,4
151,6
152,3
153,9
154,4
155,4
156,5
157,3
158,6
159,2
160,8
161,9
162,3
163,7
164,3
165,7
166,4
167,4
168,5
169,4
170,0
171,1
172,8
173,2
174,3
175,8
176,1
177,0
178,3
179,6
180,4
181,7
182,1
183,8
184,6
185,0
186,5
187,8
188,5
189,3
190,6
191,5
192,9
193,5
194,3
195,9
196,3
197,9
198,4
199,8
200,8
201,3
202,1
203,3
204,0
205,8
206,0
207,5
208,8
209,2
210,0
211,5
212,5
213,3
214,4
215,9
216,5
217,3
218,9
219,3
220,7
221,7
222,8
223,8
224,6
225,1
226,6
227,4
228,0
229,6
230,4
231,2
232,2
233,8
234,7
235,8
236,3
237,3
238,1
239,0
240,9
241,8
242,6
243,7
244,6
245,4
246,8
247,6
248,8
249,1
250,9
251,2
252,9
253,6
254,8
255,7
256,4
257,9
258,2
259,3
260,0
261,1
262,2
263,8
264,1
265,3
266,1
267,5
268,7
269,4
270,0
271,4
272,1
273,4
274,7
275,8
276,7
277,1
278,9
279,9
280,4
281,1
282,1
283,7
284,1
285,9
286,4
287,4
288,8
289,8
290,9
291,0
292,6
293,2
294,3
295,3
296,5
297,6
298,8
299,1
300,2
301,2
302,1
303,6
304,6
305,0
306,1
307,6
308,6
309,1
310,2
311,3
312,9
313,0
314,9
315,7
316,5
317,2
318,5
319,5
320,7
321,8
322,2
323,5
324,0
325,9
326,9
327,1
328,2
329,7
330,6
331,3
332,3
333,3
334,9
335,4
336,3
337,2
338,9
339,8
340,8
341,6
342,1
343,3
344,5
345,8
346,4
347,3
348,5
349,1
350,3
351,0
352,8
353,7
354,9
355,7
356,6
357,9
358,5
359,4
360,2
361,0
362,9
363,3
364,8
365,4
366,6
367,8
368,8
369,8
370,9
371,1
372,4
373,8
374,0
375,5
376,2
377,2
378,6
379,9
380,7
381,8
382,4
383,9
384,5
385,4
386,0
387,4
388,8
389,6
390,2
391,8
392,0
393,8
394,9
395,1
396,6
397,7
398,9
399,0
400,3
401,0
402,1
403,2
404,0
405,6
406,4
407,0
408,1
409,4
410,4
411,0
412,8
413,4
414,9
415,3
416,5
417,0
418,9
419,9
420,9
421,0
422,7
423,4
424,7
425,4
426,3
427,6
428,8
429,8
430,4
431,8
432,1
433,8
434,3
435,0
436,8
437,5
438,5
439,1
440,7
441,1
442,5
443,5
444,2
445,6
446,7
447,7
448,1
449,7
450,8
451,2
452,1
453,1
454,8
455,0
456,3
457,4
458,1
459,1
460,5
461,8
462,6
463,3
464,6
465,2
466,9
467,0
468,9
469,9
470,7
471,6
472,7
473,9
474,4
475,2
476,4
477,5
478,1
479,0
480,0
481,2
482,5
483,8
484,4
485,0
486,2
487,6
488,9
489,6
490,1
491,4
492,2
493,8
494,2
495,0
496,0
497,7
498,7
499,8
500,9
501,6
502,7
503,5
504,8
505,6
506,9
507,8
508,4
509,5
510,0
511,9
512,4
513,8
514,3
515,6
516,2
517,6
518,0
519,6
520,4
521,6
522,7
523,6
524,8
525,7
526,7
527,6
528,6
529,9
530,2
531,7
532,3
533,0
534,2
535,6
536,8
537,3
538,2
539,5
540,1
541,6
542,4
543,4
544,8
545,5
546,3
547,4
548,6
549,0
550,2
551,3
552,4
553,5
554,0
555,5
556,9
557,0
558,5
559,6
560,3
561,7
562,9
563,0
564,2
565,6
566,0
567,2
568,9
569,3
570,7
571,8
572,5
573,8
574,4
575,2
576,0
577,9
578,9
579,7
580,6
581,9
582,7
583,3
584,3
585,4
586,9
587,7
588,8
589,2
590,7
591,5
592,7
593,1
594,5
595,7
596,8
597,5
598,8
599,6
600,9
601,5
602,2
603,5
604,7
605,3
606,2
607,8
608,7
609,8
610,0
611,6
612,9
613,9
614,8
615,4
616,3
617,4
618,5
619,0
620,5
621,1
622,6
623,5
624,1
625,7
626,6
627,9
628,5
629,4
630,4
631,7
632,3
633,4
634,2
635,0
636,4
637,1
638,6
639,8
640,5
641,9
642,3
643,5
644,9
645,2
646,4
647,6
648,7
649,1
650,3
651,9
652,3
653,1
654,6
655,9
656,9
657,4
658,5
659,6
660,2
661,9
662,5
663,2
664,1
665,6
666,3
667,8
668,8
669,2
670,5
671,8
672,2
673,1
674,9
675,8
676,6
677,4
678,0
679,1
680,5
681,6
682,0
683,8
684,2
685,3
686,1
687,8
688,3
689,8
690,8
691,7
692,0
693,4
694,7
695,0
696,9
697,2
698,3
699,5
700,3
701,2
702,5
703,9
704,5
705,7
706,4
707,5
708,4
709,8
710,7
711,2
712,9
713,0
714,7
715,2
716,6
717,6
718,1
719,5
720,4
721,9
722,1
723,7
724,6
725,4
726,5
727,8
728,2
729,9
730,9
731,6
732,1
733,2
734,4
735,7
736,2
737,5
738,2
739,3
740,4
741,6
742,6
743,7
744,5
745,0
746,3
747,4
748,8
749,9
750,9
751,0
752,2
753,6
754,6
755,9
756,1
757,3
758,3
759,1
760,7
761,6
762,1
763,8
764,4
765,4
766,7
767,8
768,8
769,8
770,7
771,1
772,6
773,0
774,9
775,5
776,6
777,1
778,2
779,9
780,0
781,6
782,2
783,5
784,6
785,2
786,1
787,8
788,0
789,9
790,1
791,5
792,7
793,5
794,7
795,4
796,5
797,2
798,9
799,3
800,1
801,6
802,7
803,9
804,9
805,0
806,5
807,3
808,2
809,4
810,1
811,0
812,6
813,0
814,0
815,5
816,1
817,1
818,4
819,3
820,1
821,0
822,6
823,4
824,4
825,5
826,4
827,5
828,6
829,0
830,5
831,7
832,7
833,6
834,2
835,9
836,4
837,1
838,0
839,5
840,5
841,7
842,4
843,3
844,9
845,1
846,6
847,1
848,2
849,1
850,9
851,3
852,0
853,7
854,4
855,5
856,9
857,1
858,5
859,0
860,0
861,1
862,4
863,2
864,7
865,4
866,4
867,8
868,5
869,3
870,3
871,4
872,9
873,4
874,5
875,6
876,0
877,5
878,0
879,0
880,3
881,4
882,3
883,7
884,7
885,8
886,1
887,6
888,6
889,3
890,9
891,6
892,5
893,8
894,2
895,7
896,0
897,1
898,5
899,5
900,2
901,6
902,0
903,3
904,4
905,9
906,3
907,6
908,1
909,4
910,8
911,7
912,5
913,2
914,9
915,5
916,9
917,1
918,0
919,8
920,1
921,8
922,7
923,5
924,0
925,7
926,7
927,7
928,9
929,6
930,5
931,5
932,3
933,8
934,6
935,9
936,7
937,5
938,1
939,6
940,5
941,7
942,2
943,2
944,2
945,2
946,8
947,5
948,3
949,3
950,8
951,0
952,0
953,7
954,8
955,7
956,3
957,3
958,5
959,0
960,0
961,1
962,4
963,7
964,0
965,6
966,9
967,0
968,5
969,9
970,4
971,1
972,7
973,5
974,4
975,1
976,3
977,9
978,3
979,4
980,4
981,7
982,2
983,1
984,3
985,9
986,3
987,1
988,4
989,4
990,4
991,2
992,3
993,9
994,3
995,4
996,4
997,9
998,9
999,3
1000,2
1001,6
1002,3
1003,7
1004,7
1005,9
1006,3
1007,7
1008,3
1009,4
1010,1
1011,9
1012,1
1013,2
1014,8
1015,1
1016,7
1017,0
1018,5
1019,6
1020,5
1021,5
1022,0
1023,1
1024,3
1025,2
1026,7
1027,9
1028,1
1029,0
1030,6
1031,6
1032,5
1033,9
1034,4
1035,3
1036,7
1037,6
1038,8
1039,9
1040,2
1041,0
1042,6
1043,5
1044,3
1045,3
1046,9
1047,1
1048,4
1049,1
1050,3
1051,1
1052,5
1053,9
1054,5
1055,8
1056,3
1057,2
1058,4
1059,9
1060,7
1061,1
1062,2
1063,8
1064,6
1065,1
1066,5
1067,6
1068,6
1069,8
1070,0
1071,2
1072,1
1073,1
1074,8
1075,9
1076,2
1077,9
1078,3
1079,5
1080,8
1081,7
1082,8
1083,2
1084,9
1085,8
1086,8
1087,1
1088,3
1089,6
1090,9
1091,4
1092,5
1093,7
1094,0
1095,0
1096,2
1097,4
1098,6
1099,1
1100,5
1101,6
1102,4
1103,7
1104,5
1105,2
1106,5
1107,9
1108,6
1109,9
1110,4
1111,7
1112,1
1113,8
1114,9
1115,1
1116,7
1117,5
1118,0
1119,6
1120,7
1121,0
1122,9
1123,9
1124,0
1125,6
1126,7
1127,7
1128,0
1129,9
1130,9
1131,1
1132,3
1133,8
1134,6
1135,0
1136,9
1137,9
1138,2
1139,5
1140,9
1141,6
1142,9
1143,0
1144,6
1145,8
1146,6
1147,8
1148,4
1149,4
1150,5
1151,5
1152,5
1153,6
1154,9
1155,2
1156,1
1157,4
1158,9
1159,0
1160,9
1161,6
1162,5
1163,4
1164,7
1165,6
1166,5
1167,0
1168,6
1169,6
1170,3
1171,2
1172,7
1173,1
1174,4
1175,7
1176,8
1177,2
1178,5
1179,5
1180,6
1181,9
1182,0
1183,1
1184,6
1185,0
1186,6
1187,3
1188,0
1189,6
1190,2
1191,1
1192,0
1193,5
1194,6
1195,8
1196,7
1197,8
1198,6
1199,9
1200,2
1201,7
1202,6
1203,5
1204,6
1205,5
1206,3
1207,0
1208,2
1209,5
1210,0
1211,8
1212,6
1213,1
1214,4
1215,3
1216,5
1217,6
1218,5
1219,2
1220,6
1221,6
1222,7
1223,9
1224,0
1225,4
1226,3
1227,7
1228,3
1229,2
1230,7
1231,3
1232,4
1233,5
1234,3
1235,5
1236,7
1237,7
1238,7
1239,4
1240,1
1241,0
1242,4
1243,8
1244,6
1245,8
1246,0
1247,5
1248,8
1249,3
1250,6
1251,3
1252,3
1253,3
1254,2
1255,0
1256,0
1257,8
1258,2
1259,0
1260,1
1261,6
1262,0
1263,2
1264,8
1265,8
1266,8
1267,9
1268,6
1269,9
1270,3
1271,5
1272,9
1273,4
1274,2
1275,6
1276,2
1277,1
1278,0
1279,9
1280,0
1281,3
1282,0
1283,2
1284,3
1285,0
1286,9
1287,2
1288,5
1289,3
1290,2
1291,2
1292,3
1293,5
1294,6
1295,4
1296,8
1297,6
1298,3
1299,5
1300,5
1301,5
1302,4
1303,7
1304,4
1305,4
1306,4
1307,2
1308,4
1309,3
1310,5
1311,8
1312,4
1313,7
1314,9
1315,5
1316,2
1317,2
1318,0
1319,5
1320,9
1321,1
1322,1
1323,0
1324,8
1325,1
1326,4
1327,5
1328,9
1329,2
1330,0
1331,5
1332,0
1333,6
1334,6
1335,2
1336,0
1337,7
1338,5
1339,0
1340,6
1341,8
1342,6
1343,2
1344,2
1345,3
1346,6
1347,6
1348,8
1349,6
1350,4
1351,4
1352,2
1353,4
1354,4
1355,5
1356,1
1357,8
1358,9
1359,2
1360,4
1361,0
1362,3
1363,2
1364,2
1365,7
1366,6
1367,9
1368,5
1369,9
1370,6
1371,4
1372,0
1373,4
1374,4
1375,4
1376,4
1377,2
1378,1
1379,7
1380,0
1381,2
1382,9
1383,6
1384,0
1385,1
1386,6
1387,3
1388,4
1389,2
1390,4
1391,8
1392,3
1393,0
1394,7
1395,6
1396,1
1397,2
1398,3
1399,6
1400,5
1401,3
1402,9
1403,6
1404,7
1405,6
1406,8
1407,2
1408,5
1409,8
1410,6
1411,9
1412,9
1413,9
1414,1
1415,9
1416,5
1417,1
1418,4
1419,1
1420,0
1421,7
1422,4
1423,2
1424,5
1425,2
1426,8
1427,4
1428,8
1429,0
1430,3
1431,7
1432,8
1433,6
1434,2
1435,6
1436,2
1437,8
1438,0
1439,5
1440,1
1441,3
1442,7
1443,3
1444,7
1445,2
1446,2
1447,1
1448,9
1449,1
1450,1
1451,0
1452,8
1453,2
1454,2
1455,9
1456,1
1457,2
1458,5
1459,9
1460,4
1461,2
1462,1
1463,7
1464,3
1465,3
1466,4
1467,6
1468,7
1469,2
1470,8
1471,5
1472,5
1473,2
1474,0
1475,9
1476,5
1477,6
1478,7
1479,6
1480,2
1481,4
1482,0
1483,5
1484,3
1485,0
1486,0
1487,3
1488,8
1489,2
1490,0
1491,0
1492,0
1493,9
1494,9
1495,7
1496,2
1497,5
1498,8
1499,6
1500,5
1501,4
1502,6
1503,8
1504,2
1505,4
1506,5
1507,6
1508,2
1509,1
1510,6
1511,9
1512,5
1513,9
1514,2
1515,6
1516,6
1517,2
1518,5
1519,3
1520,8
1521,4
1522,3
1523,9
1524,7
1525,9
1526,0
1527,7
1528,3
1529,0
1530,2
1531,4
1532,0
1533,3
1534,0
1535,4
1536,7
1537,9
1538,4
1539,5
1540,3
1541,7
1542,4
1543,6
1544,5
1545,9
1546,3
1547,4
1548,4
1549,6
1550,3
1551,3
1552,9
1553,7
1554,8
1555,5
1556,9
1557,8
1558,1
1559,6
1560,1
1561,0
1562,0
1563,3
1564,8
1565,9
1566,3
1567,1
1568,9
1569,4
1570,2
1571,1
1572,3
1573,3
1574,5
1575,2
1576,1
1577,6
1578,5
1579,1
1580,5
1581,3
1582,8
1583,4
1584,5
1585,8
1586,5
1587,4
1588,9
1589,9
1590,7
1591,2
1592,9
1593,2
1594,9
1595,7
1596,8
1597,6
1598,9
1599,0
1600,8
1601,4
1602,7
1603,1
1604,2
